sku,name,category,material,price_usd,short_description,eco_claim
RH-UTN-001,Bamboo Travel Cutlery Set,Utensils & Cutlery,FSC-certified bamboo; organic cotton pouch,12.99,"Fork, knife, spoon, and chopsticks in a roll-up cotton carrying pouch",FSC-certified bamboo; GOTS-certified organic cotton pouch; fully compostable utensils
RH-UTN-002,Stainless Steel Cutlery Set with Case,Utensils & Cutlery,18/8 stainless steel; recycled ABS case,22.99,"Fork, knife, spoon, and chopsticks in a compact snap-lock case",BPA-free 18/8 stainless steel; carrying case made from recycled ABS plastic
RH-UTN-003,Wheat Straw Cutlery Set,Utensils & Cutlery,wheat straw composite,8.99,"Lightweight fork, knife, and spoon set in a snap-lock carrying case",Made from wheat straw agricultural byproduct; BPA-free and food-safe composite
RH-UTN-004,Premium Stainless Steel Utensil Kit,Utensils & Cutlery,18/10 stainless steel; organic cotton canvas roll,34.99,"8-piece set including 2 forks, 2 knives, 2 spoons, straw, and cleaning brush in canvas roll",18/10 stainless steel; GOTS-certified organic cotton canvas roll
RH-BTL-001,Stainless Steel Water Bottle 500ml,Drink Bottles & Tumblers,18/8 stainless steel; bamboo cap,22.99,"Single-wall water bottle with leak-proof bamboo and silicone cap, 500ml capacity",BPA-free 18/8 stainless steel; sustainably sourced bamboo lid
RH-BTL-002,Insulated Stainless Steel Bottle 750ml,Drink Bottles & Tumblers,18/8 stainless steel; double-wall vacuum,29.99,"Double-wall vacuum insulated bottle, keeps drinks cold 24h or hot 12h, 750ml",BPA-free 18/8 stainless steel; double-wall vacuum insulation; powder-coated finish free of lead and BPA
RH-BTL-003,Borosilicate Glass Bottle 500ml,Drink Bottles & Tumblers,borosilicate glass; food-grade silicone sleeve,19.99,"Glass water bottle with protective silicone sleeve and stainless steel cap, 500ml",Borosilicate glass (thermal shock resistant); food-grade silicone sleeve; BPA-free stainless steel cap
RH-BTL-004,Insulated Tumbler 350ml,Drink Bottles & Tumblers,18/8 stainless steel; double-wall vacuum,24.99,"Double-wall vacuum insulated tumbler with splash-proof sliding lid, 350ml",BPA-free 18/8 stainless steel; BPA-free Tritan lid; keeps drinks hot 4h or cold 8h
RH-BTL-005,Insulated Tumbler with Handle 600ml,Drink Bottles & Tumblers,18/8 stainless steel; double-wall vacuum,32.99,"Large double-wall vacuum insulated tumbler with handle and straw lid, 600ml",BPA-free 18/8 stainless steel; includes reusable stainless steel straw; keeps drinks hot 5h or cold 10h
RH-WRP-001,Beeswax Wrap Set (S/M/L),Food Wraps & Bags,organic cotton; beeswax; jojoba oil; tree resin,17.99,"Set of 3 reusable food wraps in small (18cm), medium (26cm), and large (33cm)",GOTS-certified organic cotton infused with sustainably sourced beeswax; compostable at end of life
RH-WRP-002,Silicone Food Storage Bags 4-Pack,Food Wraps & Bags,platinum-grade silicone,24.99,"Set of 4 leak-proof bags (2 medium, 2 large) with pinch-lock seal; freezer and dishwasher safe",Platinum-grade silicone; BPA-free, BPS-free, and phthalate-free; rated to 3000+ uses per bag
RH-WRP-003,Silicone Stretch Lids 6-Pack,Food Wraps & Bags,food-grade silicone,13.99,"Set of 6 stretchable silicone lids in graduated sizes, fits containers from 6cm to 21cm",Food-grade silicone; BPA-free; replaces single-use cling wrap
RH-WRP-004,Organic Cotton Snack Bags 5-Pack,Food Wraps & Bags,GOTS-certified organic cotton,15.99,"Set of 5 drawstring bags in assorted sizes for snacks, sandwiches, and dry goods",GOTS-certified organic cotton; machine washable; plastic-free construction
RH-STR-001,Stainless Steel Straw Set of 4,Straws & Cleaning Brushes,18/8 stainless steel,9.99,4 straight straws (21.5cm) with sisal cleaning brush and cotton carrying pouch,BPA-free 18/8 stainless steel; food-grade; dishwasher safe
RH-STR-002,Glass Drinking Straw Set of 4,Straws & Cleaning Brushes,borosilicate glass,12.99,4 straight borosilicate glass straws (20cm) with sisal cleaning brush,Borosilicate glass; lead-free and cadmium-free; dishwasher safe
RH-STR-003,Bamboo Straw Set of 8,Straws & Cleaning Brushes,organically grown bamboo,8.99,8 hand-finished bamboo straws (20cm) with sisal fiber cleaning brush,Organically grown bamboo; fully compostable straws and brush
RH-STR-004,Mixed Stainless Steel Straw Pack of 8,Straws & Cleaning Brushes,18/8 stainless steel; organic cotton pouch,17.99,"4 straight and 4 bent straws (21.5cm) with 2 sisal cleaning brushes and cotton pouch",BPA-free 18/8 stainless steel; sisal fiber brushes; organic cotton carrying pouch
RH-CUP-001,Bamboo Fiber Coffee Cup 350ml,Coffee Cups & Travel Mugs,bamboo fiber composite; food-grade silicone,13.99,"Lightweight reusable coffee cup with silicone lid and heat sleeve, 350ml capacity",Bamboo fiber composite shell; BPA-free food-grade silicone lid and sleeve
RH-CUP-002,Borosilicate Glass Coffee Cup 350ml,Coffee Cups & Travel Mugs,double-wall borosilicate glass; food-grade silicone,18.99,"Double-wall glass coffee cup with silicone lid and grip sleeve, 350ml capacity",Double-wall borosilicate glass; BPA-free silicone lid; stays cool to touch without a sleeve
RH-CUP-003,Insulated Travel Mug 350ml,Coffee Cups & Travel Mugs,18/8 stainless steel; double-wall vacuum,26.99,"Vacuum insulated travel mug with flip lid and lock mechanism, keeps drinks hot 6h, 350ml",BPA-free 18/8 stainless steel; double-wall vacuum insulation; leak-proof flip lid
RH-CUP-004,Insulated Travel Mug 500ml,Coffee Cups & Travel Mugs,18/8 stainless steel; double-wall vacuum,34.99,"Large vacuum insulated mug with one-hand flip lid, keeps drinks hot 8h, 500ml capacity",BPA-free 18/8 stainless steel; double-wall vacuum insulation; leak-proof one-hand operation lid
RH-BAG-001,Organic Cotton Tote Bag,Shopping & Produce Bags,GOTS-certified organic cotton; 10oz canvas,11.99,"Sturdy canvas tote with reinforced handles, 38cm x 42cm, holds up to 15kg",GOTS-certified organic cotton; 10oz canvas; AZO-free dyes
RH-BAG-002,Organic Cotton Mesh Produce Bags 5-Pack,Shopping & Produce Bags,GOTS-certified organic cotton mesh,15.99,"Set of 5 mesh bags (2 small, 2 medium, 1 large) with printed tare weight labels",GOTS-certified organic cotton mesh; tare weight tag for easy checkout; machine washable
RH-BAG-003,Recycled Polyester Foldable Shopping Bag,Shopping & Produce Bags,100% recycled PET polyester (rPET),9.99,"Compact foldable bag with carabiner clip, unfolds to full grocery bag size",Made from 100% post-consumer recycled PET bottles (equivalent of 6 bottles per bag)
RH-BAG-004,Organic Cotton Market Bag Set of 3,Shopping & Produce Bags,GOTS-certified organic cotton; 12oz canvas,27.99,"Set of 3 heavy-duty canvas bags with flat bottoms, inside pockets, and reinforced seams",GOTS-certified organic cotton; 12oz canvas; reinforced seams; each bag supports up to 20kg
RH-PCA-001,Bamboo Toothbrush 4-Pack,Zero-Waste Personal Care,FSC-certified bamboo handle; nylon-6 bristles,9.99,Set of 4 medium-firmness toothbrushes with color-coded bases for household use,FSC-certified bamboo handle (compostable); BPA-free nylon-6 bristles
RH-PCA-002,Stainless Steel Safety Razor,Zero-Waste Personal Care,chrome-plated zinc alloy head; stainless steel handle,32.99,"Long-handle double-edge safety razor with textured grip, includes 5 stainless steel blades",Zinc alloy head with stainless steel handle; eliminates plastic cartridge razor waste; compatible with standard DE blades
RH-PCA-003,Natural Loofah Sponge 3-Pack,Zero-Waste Personal Care,natural loofah (Luffa aegyptiaca),8.99,"Set of 3 natural loofah sponges for kitchen or body use, approximately 10cm each",100% natural Luffa aegyptiaca plant fiber; fully compostable; no synthetic additives or dyes
RH-PCA-004,Reusable Bamboo Cotton Rounds 16-Pack,Zero-Waste Personal Care,organic cotton; bamboo fiber blend,12.99,"16 reusable dual-sided facial rounds with cotton mesh laundry bag, machine washable",Organic cotton and bamboo fiber blend; includes cotton mesh wash bag; replaces approximately 3000 disposable rounds per set
RH-PCA-005,Premium Safety Razor Kit,Zero-Waste Personal Care,chrome-plated zinc alloy; stainless steel; FSC-certified bamboo stand,48.99,"Safety razor with bamboo display stand, 10 replacement blades, and organic cotton travel pouch",Zinc alloy head with stainless steel handle; FSC-certified bamboo stand; eliminates plastic cartridge razor waste
